,rb,rnb,x,y,x_num,y_num
433,1.3,0.0,132.37099042660347,121.10466944333226,132.37099042660347,121.10466944333226
434,1.4,-3.0,Extinct,Extinct,,
435,1.4,-2.9,Extinct,Extinct,,
436,1.4,-2.8,Extinct,Extinct,,
437,1.4,-2.7,Extinct,Extinct,,
438,1.4,-2.6,Extinct,Extinct,,
439,1.4,-2.5,Extinct,Extinct,,
440,1.4,-2.4,Extinct,Extinct,,
441,1.4,-2.3,Extinct,Extinct,,
442,1.4,-2.2,Extinct,Extinct,,
443,1.4,-2.1,Extinct,Extinct,,
444,1.4,-2.0,Extinct,Extinct,,
445,1.4,-1.9,Extinct,Extinct,,
446,1.4,-1.8,Extinct,Extinct,,
447,1.4,-1.7,Extinct,Extinct,,
448,1.4,-1.6,Extinct,Extinct,,
449,1.4,-1.5,Extinct,Extinct,,
450,1.4,-1.4,0.15905556530371065,0.039218427402935324,0.15905556530371065,0.039218427402935324
451,1.4,-1.3,29.91251184512222,7.989879204007788,29.91251184512222,7.989879204007788
452,1.4,-1.2,55.97939608118236,16.238184583344548,55.97939608118236,16.238184583344548
453,1.4,-1.1,78.32836723300349,24.736333721942152,78.32836723300349,24.736333721942152
454,1.4,-1.0,97.12623027495924,33.47311732552274,97.12623027495924,33.47311732552274
455,1.4,-0.9,112.57533535119883,42.43493746439944,112.57533535119883,42.43493746439944
456,1.4,-0.8,124.90825346559402,51.60616536711206,124.90825346559402,51.60616536711206
457,1.4,-0.7,134.3810393512135,60.969594155598465,134.3810393512135,60.969594155598465
458,1.4,-0.6,141.26559825284374,70.50695179740889,141.26559825284374,70.50695179740889
459,1.4,-0.5,145.84174839500307,80.19943450785578,145.84174839500307,80.19943450785578
460,1.4,-0.4,148.38956009100383,90.02822156188454,148.38956009100383,90.02822156188454
461,1.4,-0.3,149.1824650783697,99.97493834673355,149.1824650783697,99.97493834673355
462,1.4,-0.2,148.48149027309316,110.02204385364811,148.48149027309316,110.02204385364811
463,1.4,-0.1,146.53080997388417,120.15312956975495,146.53080997388417,120.15312956975495
464,1.4,0.0,143.55465869427016,130.35312693574502,143.55465869427016,130.35312693574502
465,1.5,-3.0,Extinct,Extinct,,
466,1.5,-2.9,Extinct,Extinct,,
467,1.5,-2.8,Extinct,Extinct,,
468,1.5,-2.7,Extinct,Extinct,,
469,1.5,-2.6,Extinct,Extinct,,
470,1.5,-2.5,Extinct,Extinct,,
471,1.5,-2.4,Extinct,Extinct,,
472,1.5,-2.3,Extinct,Extinct,,
473,1.5,-2.2,Extinct,Extinct,,
474,1.5,-2.1,Extinct,Extinct,,
475,1.5,-2.0,Extinct,Extinct,,
476,1.5,-1.9,Extinct,Extinct,,
477,1.5,-1.8,Extinct,Extinct,,
478,1.5,-1.7,Extinct,Extinct,,
479,1.5,-1.6,Extinct,Extinct,,
480,1.5,-1.5,0.1719161011131915,0.038355235828405825,0.1719161011131915,0.038355235828405825
481,1.5,-1.4,32.41667810341436,7.821599231450569,32.41667810341436,7.821599231450569
482,1.5,-1.3,60.824111927239976,15.912619678489481,60.824111927239976,15.912619678489481
483,1.5,-1.2,85.32164860280224,24.26638521389169,85.32164860280224,24.26638521389169
484,1.5,-1.1,106.05184748710758,32.873315848866376,106.05184748710758,32.873315848866376
485,1.5,-1.0,123.19834239319916,41.72107139117703,123.19834239319916,41.72107139117703
486,1.5,-0.9,136.98156607879147,50.79483875950522,136.98156607879147,50.79483875950522
487,1.5,-0.8,147.6525734149834,60.07774706651312,147.6525734149834,60.07774706651312
488,1.5,-0.7,155.48541908810375,69.55137983727944,155.48541908810375,69.55137983727944
489,1.5,-0.6,160.76870131336034,79.19634327174218,160.76870131336034,79.19634327174218
