Realisation number,Variable,index,Lag-1 AC,Lag-2 AC,Coefficient of variation,Kurtosis,Smax/Var,Lag-3 AC,Variance,Standard deviation,Skewness,Smax,Cross correlation
35,Total,0,0.9776554404145078,0.7713730569948187,0.9431131260794473,-0.054512089810017275,0.8947368421052632,0.4828367875647669,-0.9339378238341969,-0.9339378238341969,0.18771588946459414,0.37894736842105264,0.9075993091537133
36,Non-breeding,0,0.888385146804836,0.7232297063903282,0.9294041450777203,-0.29533678756476683,0.5789473684210527,0.21189550949913646,-0.8540587219343696,-0.8540587219343696,-0.19181778929188256,-0.5578947368421052,0.7732081174438687
36,Breeding,0,0.9149395509499137,0.5267702936096719,0.6116148531951641,0.5275259067357513,0.5894736842105264,0.2344559585492228,-0.9880181347150259,-0.9880181347150259,0.5751295336787565,-0.8947368421052632,0.7732081174438687
36,Total,0,0.9553108808290155,0.6272668393782384,0.9011226252158895,0.03044041450777202,0.7052631578947369,0.3687392055267703,-0.9708549222797929,-0.9708549222797929,0.4297279792746114,-0.6842105263157895,0.7732081174438687
37,Non-breeding,0,0.9348013816925734,0.5926165803108809,0.9642702936096719,0.6606217616580311,0.768421052631579,0.8558937823834197,-0.8026770293609673,-0.8026770293609673,-0.403713298791019,0.3473684210526316,0.7828151986183074
37,Breeding,0,0.8561096718480139,0.36237046632124353,-0.10297927461139897,0.2001295336787565,0.4631578947368421,0.6965673575129534,-0.989961139896373,-0.989961139896373,0.41591105354058727,-0.8631578947368421,0.7828151986183074
37,Total,0,0.9475388601036271,0.6964594127806564,0.8606433506044906,0.025798791018998277,0.7263157894736842,0.8461787564766841,-0.9665371329879102,-0.9665371329879102,0.30915371329879104,-0.631578947368421,0.7828151986183074
38,Non-breeding,0,0.8836355785837652,0.7751511226252159,0.9733376511226253,0.40835492227979275,0.6842105263157895,0.5658462867012091,-0.8474740932642487,-0.8474740932642487,0.44548791018998274,-0.37894736842105264,0.9043609671848014
38,Breeding,0,0.8187607944732297,0.6281303972366149,0.7681347150259068,0.5484671848013817,0.49473684210526314,0.5666018998272885,-0.9835924006908463,-0.9835924006908463,0.48089378238341973,-0.8210526315789474,0.9043609671848014
38,Total,0,0.9332901554404146,0.7521588946459413,0.9259499136442142,0.4416018998272884,0.631578947368421,0.5935880829015544,-0.9253022452504318,-0.9253022452504318,0.5240716753022453,-0.6736842105263158,0.9043609671848014
