,rb,rnb,x_equi,y_equi
346,0.8,-0.49999999999999956,100.24442193523036,49.7555780647699
347,0.8,-0.4499999999999995,116.25203645767371,58.747963542326616
348,0.8,-0.39999999999999947,132.0347943446988,67.96520565530152
349,0.8,-0.3499999999999994,147.58196372462265,77.41803627537769
350,0.8,-0.2999999999999994,162.88209663497236,87.11790336502807
351,0.8,-0.24999999999999933,177.92297166984423,97.07702833015614
352,0.8,-0.1999999999999993,192.69153191535537,107.30846808464499
353,0.8,-0.14999999999999925,207.17381792832717,117.8261820716732
354,0.8,-0.0999999999999992,221.354895563752,128.64510443624843
355,0.8,-0.049999999999999156,235.21877853662664,139.78122146337384
356,0.8,8.881784197001252e-16,248.74834572403645,151.25165427596406
357,0.8500000000000001,-1.0,4.185688555076242e-25,1.5398287665591498e-25
358,0.8500000000000001,-0.95,1.3795565414206907e-16,5.3353110874238996e-17
359,0.8500000000000001,-0.8999999999999999,3.439192325720667e-08,1.3982712535545529e-08
360,0.8500000000000001,-0.8499999999999999,0.8714791907431367,0.3718345617132253
361,0.8500000000000001,-0.7999999999999998,17.434587672710833,7.565412363216057
362,0.8500000000000001,-0.7499999999999998,34.70556627997648,15.294433720023685
363,0.8500000000000001,-0.6999999999999997,51.80599423776789,23.194005762232393
364,0.8500000000000001,-0.6499999999999997,68.72850402565379,31.271495974346493
365,0.8500000000000001,-0.5999999999999996,85.46526918607185,39.534730813928455
366,0.8500000000000001,-0.5499999999999996,102.0079681832429,47.99203181675744
367,0.8500000000000001,-0.49999999999999956,118.34774501589037,56.65225498410994
368,0.8500000000000001,-0.4499999999999995,134.47516625284564,65.52483374715467
369,0.8500000000000001,-0.39999999999999947,150.38017416385725,74.61982583614311
370,0.8500000000000001,-0.3499999999999994,166.05203559731922,83.94796440268114
371,0.8500000000000001,-0.2999999999999994,181.47928623903377,93.52071376096656
372,0.8500000000000001,-0.24999999999999933,196.6496698736753,103.35033012632518
373,0.8500000000000001,-0.1999999999999993,211.55007226632222,113.44992773367824
374,0.8500000000000001,-0.14999999999999925,226.16644928940067,123.83355071059972
375,0.8500000000000001,-0.0999999999999992,240.48374894628503,134.5162510537154
376,0.8500000000000001,-0.049999999999999156,254.48582699430642,145.51417300569406
377,0.8500000000000001,8.881784197001252e-16,268.1553559573747,156.84464404262582
378,0.9,-1.0,1.4000640335041095e-16,5.150547742497273e-17
379,0.9,-0.95,3.489848532437221e-08,1.3496675930417573e-08
380,0.9,-0.8999999999999999,0.8843772523506321,0.3589255456157563
381,0.9,-0.8499999999999999,17.698483919216965,7.301516116566865
382,0.9,-0.7999999999999998,35.24232671436908,14.757673285631109
383,0.9,-0.7499999999999998,52.62504817490964,22.3749518250905
384,0.9,-0.6999999999999997,69.83977199717819,30.160228002822038
385,0.9,-0.6499999999999997,86.87919487683399,38.1208051231663
386,0.9,-0.5999999999999996,103.73555257365267,46.26444742634758
387,0.9,-0.5499999999999996,120.40058283682471,54.59941716317551
388,0.9,-0.49999999999999956,136.8654848456932,63.134515154307
389,0.9,-0.4499999999999995,153.1208748164305,71.87912518356976
390,0.9,-0.39999999999999947,169.15673739395268,80.8432626060476
391,0.9,-0.3499999999999994,184.96237241673788,90.03762758326242
392,0.9,-0.2999999999999994,200.52633661127706,99.47366338872322
393,0.9,-0.24999999999999933,215.8363797443326,109.16362025566782
394,0.9,-0.1999999999999993,230.8793747374625,119.12062526253793
395,0.9,-0.14999999999999925,245.6412412329067,129.35875876709372
396,0.9,-0.0999999999999992,260.1068620978803,139.89313790212012
397,0.9,-0.049999999999999156,274.2599923725229,150.74000762747755
398,0.9,8.881784197001252e-16,288.08316021481016,161.9168397851904
399,0.9500000000000001,-1.0,3.5390503964732006e-08,1.3019438820399797e-08
400,0.9500000000000001,-0.95,0.8969986341169142,0.3462843789869899
401,0.9500000000000001,-0.8999999999999999,17.95683753315495,7.043162502476939
402,0.9500000000000001,-0.8499999999999999,35.767743419718876,14.232256580281296
403,0.9500000000000001,-0.7999999999999998,53.4266876005365,21.57331239946371
404,0.9500000000000001,-0.7499999999999998,70.9272737764475,29.07272622355272
405,0.9500000000000001,-0.6999999999999997,88.26271074945507,36.737289250545174
406,0.9500000000000001,-0.6499999999999997,105.42578089466964,44.57421910533068
407,0.9500000000000001,-0.5999999999999996,122.40880565632231,52.591194343677905
408,0.9500000000000001,-0.5499999999999996,139.203607722699,60.79639227730128
409,0.9500000000000001,-0.49999999999999956,155.80146952611574,69.19853047388455
410,0.9500000000000001,-0.4499999999999995,172.19308767649514,77.80691232350517
411,0.9500000000000001,-0.39999999999999947,188.3685228966862,86.63147710331421
412,0.9500000000000001,-0.3499999999999994,204.31714498476612,95.68285501523428
413,0.9500000000000001,-0.2999999999999994,220.02757228382754,104.97242771617285
414,0.9500000000000001,-0.24999999999999933,235.4876050943157,114.5123949056846
415,0.9500000000000001,-0.1999999999999993,250.68415241962435,124.31584758037607
416,0.9500000000000001,-0.14999999999999925,265.60315139508424,134.3968486049162
417,0.9500000000000001,-0.0999999999999992,280.2294787177137,144.77052128228675
418,0.9500000000000001,-0.049999999999999156,294.54685337496886,155.45314662503154
419,0.9500000000000001,8.881784197001252e-16,308.5377299736271,166.4622700263733
420,1.0,-1.0,0.9093360171337753,0.3339181855908971
421,1.0,-0.95,18.20950072866117,6.790499306810309
422,1.0,-0.8999999999999999,36.28150322364413,13.718496776355975
423,1.0,-0.8499999999999999,54.21041378374586,20.789586216254257
424,1.0,-0.7999999999999998,71.99030191281807,28.00969808718209
425,1.0,-0.7499999999999998,89.61487399156371,35.38512600843648
426,1.0,-0.6999999999999997,107.07744427032497,42.92255572967524
427,1.0,-0.6499999999999997,124.3709030897396,50.629096910260564
428,1.0,-0.5999999999999996,141.48768199478488,58.512318005215306
429,1.0,-0.5499999999999996,158.41971539743898,66.58028460256115
430,1.0,-0.49999999999999956,175.1583984027122,74.8416015972881
431,1.0,-0.4499999999999995,191.6945403679461,83.30545963205412
432,1.0,-0.39999999999999947,208.01831371586402,91.98168628413625
433,1.0,-0.3499999999999994,224.11919746779344,100.88080253220689
434,1.0,-0.2999999999999994,239.98591490494795,110.01408509505235
435,1.0,-0.24999999999999933,255.60636470310982,119.39363529689052
436,1.0,-0.1999999999999993,270.9675448205002,129.03245517950012
437,1.0,-0.14999999999999925,286.0554683517934,138.9445316482071
438,1.0,-0.0999999999999992,300.85507049594383,149.1449295040567
439,1.0,-0.049999999999999156,315.3501057261681,159.6498942738323
440,1.0,8.881784197001252e-16,329.5230342037035,170.47696579629687
441,1.05,-1.0,18.456346753410433,6.543653281892763
442,1.05,-0.95,36.78333811323425,13.216661886765882
443,1.05,-0.8999999999999999,54.975800811891844,20.02419918810832
444,1.05,-0.8499999999999999,73.02825347285209,26.971746527148056
