Realisation number,Variable,index,Coefficient of variation,Lag-1 AC,Variance,Smax,Smax/Var,Lag-3 AC,Standard deviation,Skewness,Kurtosis,Smax/Mean,Lag-2 AC,Cross correlation
51,Breeding,0,0.6018158604057314,0.9518796992481203,-0.9926230671017165,-0.4358974358974358,0.9487179487179485,0.7761952049936162,-0.9926230671017165,0.15448999858135906,0.37636544190665344,0.6923076923076922,0.8157469144559513,-0.08765537612643005
52,Non-breeding,0,0.9263441622925238,0.9639097744360903,-0.9837707476237765,-0.9487179487179485,0.6666666666666665,0.1881969073627465,-0.9837707476237765,0.12418782806071785,0.07686196623634559,0.46153846153846145,0.7357355653284154,0.2127359692921296
52,Breeding,0,0.7395942686905945,0.9523904099872323,-0.9919421194495674,-0.9487179487179485,0.7948717948717947,0.18013902681231383,-0.9919421194495674,-0.002071215775287275,0.43237338629592853,-0.282051282051282,0.709121861256916,0.2127359692921296
53,Non-breeding,0,0.8362320896581076,0.9606185274507023,-0.9786636402326572,-0.9487179487179485,0.6923076923076922,0.5005248971485318,-0.9786636402326572,0.735962547879132,0.17395375230529153,0.46153846153846145,0.7063413250106398,-0.3073485973040649
53,Breeding,0,0.885827776989644,0.9414952475528445,-0.9900127677684778,-0.9487179487179485,0.7179487179487178,0.3690452546460491,-0.9900127677684778,0.3925379486451979,0.6566321464037453,0.5384615384615383,0.8306710171655556,-0.3073485973040649
54,Non-breeding,0,0.893488438076323,0.9592566321464038,-0.9755426301603065,-0.6153846153846153,0.4102564102564102,0.6275216342743652,-0.9755426301603065,-0.31037026528585615,-0.18779968789899276,0.07692307692307691,0.8253936728613989,-0.2652152399802078
54,Breeding,0,0.9033621790324871,0.9355937012342177,-0.9897290395800824,-0.9487179487179485,0.9743589743589742,0.8746488863668607,-0.9897290395800824,-0.33460065257483335,0.8947935877429424,0.846153846153846,0.8453113916867643,-0.2652152399802078
55,Non-breeding,0,0.6116896013618953,0.9821818697687615,-0.981841395942687,-0.846153846153846,0.846153846153846,0.5257767059157328,-0.981841395942687,0.20130514966661942,-0.6542488296212229,0.30769230769230765,0.7101432827351398,-0.10257448307918372
55,Breeding,0,0.6438076322882679,0.9732728046531424,-0.9891048375656123,-0.9487179487179485,0.4871794871794871,0.33454390693715425,-0.9891048375656123,-0.48265002127961415,-0.48168534543906943,-0.10256410256410255,0.7866364023265712,-0.10257448307918372
56,Non-breeding,0,0.6607178323166407,0.9728188395517096,-0.9452972052773444,-0.564102564102564,0.5897435897435896,0.7389700666761243,-0.9452972052773444,0.4795290112072635,-0.5491559086395235,0.4102564102564102,0.4645481628599802,-0.2012804942047891
