Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Standard deviation,Smax/Var,Skewness,Lag-1 AC,Lag-3 AC,Variance,Smax,Cross correlation
28,Breeding,0,0.9894216797442601,0.7339145597210113,0.3752978785236849,-0.9161871548968321,0.8245614035087718,0.5437372856727695,0.9425748328974134,0.528741644870677,-0.9161871548968321,0.19298245614035084,0.7551942683934968
28,Total,0,0.9940198953481687,0.8732677821861883,0.12184463228106493,0.5581622678396871,0.847953216374269,-0.514576505088839,0.9735495371168996,0.7338853429935024,0.5581622678396871,0.7309941520467835,0.7581806282722514
29,Non-breeding,0,0.9906195462478184,0.8472949389179756,-0.6894633507853403,0.8715095986038395,0.5894736842105264,0.45986038394415363,0.8979057591623036,0.8295157068062827,0.8715095986038395,0.7999999999999999,0.8307261991090852
29,Breeding,0,0.982033618076605,0.900358225406448,0.70041333700744,-0.9272526866905483,0.6736842105263158,-0.0181317167263709,0.9150179112703224,0.9044364838798568,-0.9272526866905483,0.0736842105263158,0.828885400313972
29,Total,0,0.9872382198952879,0.9257198952879581,-0.33169720767888305,0.6188917975567191,0.631578947368421,0.42168411867364747,0.9557155322862129,0.8964877835951134,0.6188917975567191,0.6421052631578947,0.8307261991090852
30,Non-breeding,0,0.9866161412561478,0.8855115697815046,-0.22244618237523184,0.8534225590582925,0.7999999999999999,0.6724985890510361,0.9690397484479563,0.8169797629605741,0.8534225590582925,0.8666666666666667,0.5905476028175414
30,Breeding,0,0.9805650824759105,0.9167074963253307,0.32582067613914745,-0.884207088028744,0.8499999999999999,0.5173934345908868,0.9483913114486363,0.5784746039523109,-0.884207088028744,0.16666666666666669,0.5854612376351508
30,Total,0,0.973877287752963,0.9417882770297509,-0.5625251955172136,0.4370716762073692,0.7833333333333333,0.365153591872934,0.9732322825122955,0.7558655164073209,0.4370716762073692,0.7833333333333333,0.5905476028175414
31,Non-breeding,0,0.9742351046698874,0.913810290621885,-0.5109270761444675,0.9220918641208498,0.7352941176470588,0.3472893183038111,0.9398819108964038,0.5207422743654628,0.9220918641208498,0.926470588235294,0.8447442464468654
31,Breeding,0,0.9597826086956521,0.9228260869565218,0.5861801242236025,-0.9383540372670808,0.8088235294117646,0.28478260869565214,0.9391304347826086,0.8642857142857142,-0.9383540372670808,-0.24999999999999997,0.8425702811244979
31,Total,0,0.9613526570048311,0.9467832221455411,-0.07031669350509932,0.7763975155279503,0.6911764705882353,0.3393144697492524,0.9766889042251362,0.825166781688521,0.7763975155279503,0.8970588235294118,0.8447442464468654
32,Non-breeding,0,0.9886221413130049,0.867447946296507,0.20844237114575037,0.7408123791102514,0.6725146198830408,0.12174308795084765,0.9625668449197861,0.7368301285698031,0.7408123791102514,0.8596491228070176,0.8679835924006909
32,Breeding,0,0.974814559254787,0.8169167960439307,0.559082283939969,-0.8216318785578748,0.847953216374269,0.6785693749640619,0.9134034845609799,0.5981829682019436,-0.8216318785578748,0.25146198830409355,0.8656195462478186
32,Total,0,0.9585845943793377,0.9214927750597337,0.4663784275799295,0.3903743315508021,0.7777777777777777,-0.002958243258618728,0.9804300830583683,0.7263624985777677,0.3903743315508021,0.8245614035087718,0.8679835924006909
33,Non-breeding,0,0.9932786664874312,0.739212259712327,-0.5071918268584488,0.7691894071783842,0.18954248366013074,0.2716763005780347,0.9595375722543353,0.15472509745933594,0.7691894071783842,0.607843137254902,0.9457881038532344
33,Breeding,0,0.9787841697266423,0.8245614035087719,0.8631850945192439,-0.9564803481572148,0.4248366013071896,0.687202502379981,0.9589283285733715,0.6975384196926425,-0.9564803481572148,-0.34640522875817,0.9451720595788392
33,Total,0,0.9915311197741632,0.8325043688667833,-0.4199489178653045,0.4124210243312273,0.24183006535947715,0.09692162925124345,0.9411211184298965,0.4687457991665546,0.4124210243312273,0.2679738562091504,0.9457881038532344
34,Non-breeding,0,0.994920634920635,0.6454603174603175,-0.9136507936507936,0.9357460317460317,0.6923076923076922,-0.7541587301587303,0.8280634920634922,0.6264126984126984,0.9357460317460317,0.846153846153846,0.6037580739870817
