,Time,Non-breeding,Breeding,rnb
16,997,4.1218523160367644e-51,3.8918621566238705e-52,-2.36
17,998,3.6557550562229555e-51,3.451772083595823e-52,-2.36
18,999,3.2423638709962213e-51,3.061447203830901e-52,-2.36
19,1000,2.875718780459903e-51,2.7152600910082243e-52,-2.36
0,981,4.734533673054343e-46,4.515285098805016e-47,-2.35
1,982,4.241356879032934e-46,4.044946522105291e-47,-2.35
2,983,3.799552272212451e-46,3.6236011699508937e-47,-2.35
3,984,3.403768624291401e-46,3.2461456207424476e-47,-2.35
4,985,3.0492121222915412e-46,2.908008055204423e-47,-2.35
5,986,2.7315883049087347e-46,2.6050928815693933e-47,-2.35
6,987,2.447050047114026e-46,2.3337311289278586e-47,-2.35
7,988,2.1921509629837224e-46,2.0906360078976792e-47,-2.35
8,989,1.9638036623639748e-46,1.8728631003548032e-47,-2.35
9,990,1.759242355765987e-46,1.6777746960351205e-47,-2.35
10,991,1.5759893545546505e-46,1.503007844045018e-47,-2.35
11,992,1.4118250606739992e-46,1.346445732313968e-47,-2.35
12,993,1.2647610824188608e-46,1.2061920483311844e-47,-2.35
13,994,1.1330161506254013e-46,1.0805480106183148e-47,-2.35
14,995,1.0149945435725074e-46,9.67991792738642e-48,-2.35
15,996,9.092667592719716e-47,8.671600906221576e-48,-2.35
16,997,8.145522010462833e-47,7.768316099461597e-48,-2.35
17,998,7.297036666781811e-47,6.95912273567128e-48,-2.35
18,999,6.536934532613545e-47,6.234219698332492e-48,-2.35
19,1000,5.856009094513872e-47,5.584826812704272e-48,-2.35
0,981,7.910709467860753e-42,7.620199597666267e-43,-2.34
1,982,7.157905929731745e-42,6.895041728871005e-43,-2.34
2,983,6.47674112000276e-42,6.238891755201842e-43,-2.34
3,984,5.860397712310629e-42,5.645182707182673e-43,-2.34
4,985,5.3027071346709956e-42,5.1079725451084194e-43,-2.34
5,986,4.7980878323365667e-42,4.621884689114473e-43,-2.34
6,987,4.341489405721175e-42,4.182054208558275e-43,-2.34
7,988,3.9283420643032216e-42,3.78407913215829e-43,-2.34
8,989,3.55451089062618e-42,3.423976391585863e-43,-2.34
9,990,3.216254456654893e-42,3.098141957578635e-43,-2.34
10,991,2.9101873783062626e-42,2.8033147696043263e-43,-2.34
11,992,2.6332464333874777e-42,2.5365440980708503e-43,-2.34
12,993,2.3826599038387255e-42,2.295160012432781e-43,-2.34
13,994,2.155919835447241e-42,2.0767466596290592e-43,-2.34
14,995,1.9507569373985932e-42,1.8791180854135625e-43,-2.34
15,996,1.7651178704514798e-42,1.7002963565902842e-43,-2.34
16,997,1.597144696428449e-42,1.5384917651931025e-43,-2.34
17,998,1.4451562833461446e-42,1.392084916486913e-43,-2.34
18,999,1.3076314800813694e-42,1.2596105215208232e-43,-2.34
19,1000,1.183193892179367e-42,1.1397427320238304e-43,-2.34
0,981,1.3092110847197007e-37,1.2738067058570085e-38,-2.33
1,982,1.1965288384281065e-37,1.1641716724903346e-38,-2.33
2,983,1.0935450195158055e-37,1.0639727964982797e-38,-2.33
3,984,9.994248958335284e-38,9.72397919000016e-39,-2.33
4,985,9.134055796387105e-38,8.887047826669605e-39,-2.33
5,986,8.3478984403256e-38,8.122150153790245e-39,-2.33
6,987,7.629404716090612e-38,7.423086317004407e-39,-2.33
7,988,6.972750895090592e-38,6.784190076070475e-39,-2.33
8,989,6.372614490151164e-38,6.200282877328393e-39,-2.33
9,990,5.824131114260457e-38,5.66663187909364e-39,-2.33
10,991,5.322855052431098e-38,5.178911589755777e-39,-2.33
11,992,4.864723227095299e-38,4.7331688076403987e-39,-2.33
12,993,4.446022264955681e-38,4.3257905784555955e-39,-2.33
13,994,4.063358398353216e-38,3.9534749106030345e-39,-2.33
