,Time,Non-breeding,Breeding,rnb
10,991,1.5149700708642058e-33,1.488815409471192e-34,-2.32
11,992,1.3984936367012686e-33,1.37434984123517e-34,-2.32
12,993,1.2909723363566345e-33,1.2686848040980635e-34,-2.32
13,994,1.1917176664237559e-33,1.1711436810752494e-34,-2.32
14,995,1.1000940581535055e-33,1.08110187596798e-34,-2.32
15,996,1.0155148076443114e-33,9.979828138152997e-35,-2.32
16,997,9.37438318934144e-34,9.212542488458339e-35,-2.32
17,998,8.653646359373172e-34,8.50424856287731e-35,-2.32
18,999,7.988322410186577e-34,7.850410862127104e-35,-2.32
19,1000,7.37415099704992e-34,7.246842592680733e-35,-2.32
0,981,5.436328711756219e-29,5.396167918185585e-30,-2.31
1,982,5.068799293818764e-29,5.031353618090987e-30,-2.31
2,983,4.7261171359002516e-29,4.6912030192694695e-30,-2.31
3,984,4.406602409664996e-29,4.374048703090979e-30,-2.31
4,985,4.1086888535543024e-29,4.078335978729657e-30,-2.31
5,986,3.8309160949704877e-29,3.80261526206761e-30,-2.31
6,987,3.571922491528712e-29,3.545534969831877e-30,-2.31
7,988,3.330438456284428e-29,3.305834894131666e-30,-2.31
8,989,3.105280234216708e-29,3.0823400249178004e-30,-2.31
9,990,2.8953440994597543e-29,2.873954790082104e-30,-2.31
10,991,2.6996009448374283e-29,2.6796576849616508e-30,-2.31
11,992,2.5170912371786773e-29,2.498496264921724e-30,-2.31
12,993,2.3469203136848165e-29,2.329582476471111e-30,-2.31
13,994,2.188253996291453e-29,2.1720883040228583e-30,-2.31
14,995,2.040314502526645e-29,2.025241710960906e-30,-2.31
15,996,1.9023766328203234e-29,1.888322855115698e-30,-2.31
16,997,1.7737642155751572e-29,1.7606605600970324e-30,-2.31
17,998,1.6538467925725992e-29,1.641629025186619e-30,-2.31
18,999,1.5420365284659667e-29,1.5306447576622301e-30,-2.31
19,1000,1.4377853292108905e-29,1.4271637125157015e-30,-2.31
0,981,8.591902260753584e-25,8.614141860424979e-26,-2.3
1,982,8.091548825200054e-25,8.112493291411685e-26,-2.3
2,983,7.6203337053387075e-25,7.640058460791675e-26,-2.3
3,984,7.1765600177646405e-25,7.195136092883867e-26,-2.3
4,985,6.758629697869486e-25,6.776123986589971e-26,-2.3
5,986,6.36503774508271e-25,6.381513245739945e-26,-2.3
6,987,5.994366803243958e-25,6.009882845435986e-26,-2.3
7,988,5.645282056589951e-25,5.659894514828e-26,-2.3
8,989,5.316526422975965e-25,5.330287917893041e-26,-2.3
9,990,5.006916027022296e-25,5.0198761148642983e-26,-2.3
10,991,4.715335936884154e-25,4.727541287965888e-26,-2.3
11,992,4.440736149292754e-25,4.4522307160614747e-26,-2.3
12,993,4.182127808409404e-25,4.192952983721102e-26,-2.3
13,994,3.9385796448764004e-25,3.948774411054789e-26,-2.3
14,995,3.70921462224144e-25,3.718815691456431e-26,-2.3
15,996,3.4932067786790865e-25,3.5022487251502525e-26,-2.3
16,997,3.289778252636047e-25,3.298293637137158e-26,-2.3
17,998,3.0981964816893925e-25,3.106215968802372e-26,-2.3
18,999,2.917771564530572e-25,2.925324033071112e-26,-2.3
19,1000,2.747853776575519e-25,2.7549664235880106e-26,-2.3
0,981,1.321123028394154e-20,1.3378545475916351e-21,-2.29
1,982,1.2566910979940118e-20,1.2726066113712544e-21,-2.29
2,983,1.1954015499200144e-20,1.2105408545504823e-21,-2.29
3,984,1.137101128377677e-20,1.151502080408658e-21,-2.29
4,985,1.0816440519458104e-20,1.0953426612585028e-21,-2.29
5,986,1.0288916490470338e-20,1.0419221693000064e-21,-2.29
6,987,9.787120111966008e-21,9.911070254777807e-22,-2.29
7,988,9.30979663162479e-21,9.42770165463844e-22,-2.29
8,989,8.855752492119135e-21,8.967907219306152e-22,-2.29
9,990,8.42385234659925e-21,8.53053722319639e-22,-2.29
10,991,8.013016219734594e-21,8.114498013503022e-22,-2.29
11,992,7.622216807213027e-21,7.718749275496669e-22,-2.29
12,993,7.250476906944918e-21,7.342301431196e-22,-2.29
13,994,6.896866975548933e-21,6.984213164907342e-22,-2.29
14,995,6.560502804009392e-21,6.643589069445122e-22,-2.29
15,996,6.240543306693175e-21,6.3195774071475175e-22,-2.29
