Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Non-breeding,0.9,-0.5,56.94380009416295,61.81625833490454,-4.872458240741587,1.9117681106361968,3.6548573088454934,0.5919642438846451,0.35648823999713103,0.21261435955526137,0.031083239134164112,-0.07671153811188346,-0.008508241055218248,0.39967710298387144,0.10935504978992533,0.006498308502678921
Breeding,0.9,-0.5,33.23883554085534,36.034167221063946,-2.795331680208605,1.6055529285998422,2.5778002065355303,0.5938768578788154,0.36099730838626987,0.22657577635994894,0.04486405175002644,0.0011126211934401934,-0.010682962820491058,0.2827049376927292,0.10966906472269794,0.007899639263649404
Non-breeding,0.9,-0.4,66.86997147069299,70.92035997800785,-4.050388507314864,1.7472975294613637,3.0530486564617854,0.4960936687130586,0.24810186983435661,0.11943659006021143,0.024717499218867595,-0.04140429572379883,0.01851049452400965,0.2889553539824741,0.09464485715643585,0.004087600203126907
Breeding,0.9,-0.4,42.876773096073094,45.40788445965482,-2.531111363581722,1.7451396964936832,3.045512560278065,0.49773616788845354,0.25390579391257245,0.13885023092070248,0.038626847546057455,0.02007648489073405,0.05403540240826523,0.28795815360698473,0.0945516223977396,0.006373653479643631
Non-breeding,0.9,-0.3,74.82994191566843,77.98876773384366,-3.158825818175231,1.6230185152644232,2.6341891008911325,0.40219347002427724,0.15846513951475555,0.05436761608293947,0.020855038006695848,0.00748191336600514,0.0122077904094657,0.21318285413835764,0.08092921425657672,0.0027393011747047203
Breeding,0.9,-0.3,52.75997775044659,54.91810948405514,-2.158131733608549,1.8720454137716964,3.504554031223642,0.4028314957589752,0.16487411107811917,0.07883465108059313,0.0342190310981316,0.03720230812513222,0.1002046997060956,0.28079152672922747,0.08012189974174458,0.0051325752647638865
Non-breeding,0.9,-0.2,80.90708533912901,83.2517672466846,-2.3446819075555823,1.5712776393735626,2.4689134199953555,0.3099575705562492,0.0876379799373173,0.013010925627067781,0.01890091053167015,0.051742820580907366,-0.005119687511730909,0.17061727129343168,0.06910621891866611,0.0020523564385225507
Breeding,0.9,-0.2,62.79578731715475,64.55227414082788,-1.7564868236731286,2.0010195135526256,4.004079093618387,0.30901507974947545,0.09320343765031573,0.04064965626140683,0.031092611824429146,0.049710507422046024,0.12577679442165116,0.2701241246290475,0.0674622349642307,0.004197292677367891
Non-breeding,0.9,-0.1,85.24589168717863,86.92947746628563,-1.6835857791070055,1.6006755630157075,2.562162258035652,0.21865692316949895,0.03574029798233117,-0.008884789341375173,0.018432905972649394,0.06961935593258546,-0.007307513718180046,0.15108429707176624,0.05896749770547277,0.0017398420430813854
Breeding,0.9,-0.1,72.91148543012119,74.29649998130623,-1.3850145511850371,2.1471274326101843,4.610156211867201,0.21627199443902537,0.03869620299193248,0.018976433956900903,0.028971482306895523,0.05578300901303051,0.13535832233212575,0.2613723171392622,0.056694893866384065,0.003526732203457062
Non-breeding,0.9,0.0,88.03693737315025,89.22807478834349,-1.1911374151932392,1.700849013000594,2.892887365025095,0.12745150318448303,0.0022853335706168533,-0.016632694229282166,0.0190781577912487,0.05723628052574194,0.009560141658269178,0.1450071525041687,0.05012540559210842,0.0016265225867719208
Breeding,0.9,0.0,83.05991890060335,84.13741842826576,-1.077499527662411,2.326687078644406,5.413472761930839,0.12452288474053236,0.0014758917648489715,0.00882125781514277,0.02771230989423424,0.05417020748592943,0.13787653302245576,0.2578582274302732,0.047632682156195455,0.003071254047402471
Non-breeding,1.0,-0.9,16.760991938324764,21.809967926764696,-5.048975988439931,2.2238142183820853,4.945349677878324,0.8943644352292884,0.8063096650861482,0.7278320615206305,0.10564670787825509,-0.006703403052080028,-0.3383690156992641,0.7703272151215873,0.1557679972697252,0.03659592316386446
Breeding,1.0,-0.9,6.668239860193024,8.756871976611892,-2.088632116418868,0.97034884986063,0.9415768904258474,0.8944740874472573,0.8061462183394761,0.7283464598410345,0.11504536122556473,0.04006666993331544,-0.3480621829835335,0.14632980147662022,0.15540929579361235,0.01734898214323733
Non-breeding,1.0,-0.8,33.557138536378815,39.982427356660274,-6.425288820281459,2.5195109149519084,6.347935250561803,0.7918130891142876,0.6358916384600841,0.5116198718704943,0.06397902274322806,-0.08509132083104474,-0.1683209703034332,1.000317652468264,0.15758157778621548,0.025401495765673698
Breeding,1.0,-0.8,14.690713800507313,17.523596730874182,-2.8328829303668694,1.3182874762256438,1.7378818699733771,0.7923672602021136,0.6366082306938576,0.5148132474880878,0.07652525271488896,-0.012985139755263117,-0.1953714459911597,0.2743912347571527,0.15788831191463903,0.015928133249554933
Non-breeding,1.0,-0.7,48.829513658992234,55.25813053939429,-6.428616880402053,2.4591510700037,6.047423985100344,0.6921884010269337,0.48848951017089404,0.3451583662397634,0.04489480710349647,-0.10071665361743637,-0.07849221319614465,0.7850637750097522,0.12981788228243862,0.014332298317464713
Breeding,1.0,-0.7,23.443907183639848,26.49239744653679,-3.048490262896941,1.556085515121814,2.4214021303719213,0.693197200646095,0.4903697066655402,0.35194514222658163,0.05936841200515115,-0.011960616958069863,-0.10496599282728807,0.3172395840273125,0.13101482816428567,0.012103454563293642
